seq,anchorId,range,rssi,sec,nsec
235,0,4589,-87.76874158304634,158,260000000
235,1,2988,-86.96766369144844,158,271000000
235,3,7367,-91.9782396825712,158,273000000
236,0,4531,-88.18897090462232,158,360000000
236,1,2971,-88.5238796168881,158,363000000
236,3,7344,-94.4351795205451,158,373000000
237,0,4491,-88.95405362592761,158,460000000
237,1,3067,-88.15925550258497,158,465000000
237,3,7363,-93.4857670110592,158,474000000
238,0,4503,-88.59740123204882,158,560000000
238,1,3043,-87.7347310866982,158,565000000
238,3,7376,-91.78551016718892,158,576000000
239,0,4647,-88.40349583906745,158,660000000
239,1,3022,-88.41221302545672,158,669000000
239,3,7433,-91.7223881872156,158,681000000
240,0,4638,-88.0930053993826,158,760000000
240,1,3057,-88.39789452042653,158,770000000
240,3,7424,-91.6179399667403,158,773000000
241,0,4611,-89.26964294335073,158,860000000
241,1,3065,-88.30296576110331,158,863000000
241,3,7295,-94.01590974209286,158,875000000
242,0,4551,-87.47400647913511,158,960000000
242,1,3108,-88.47366661135969,158,967000000
242,3,7289,-93.5789656403877,158,968000000
243,0,4522,-88.2374578976564,159,60000000
243,1,3131,-88.14811362379606,159,64000000
243,3,7353,-91.63987559521598,159,64000000
244,0,4652,-88.67627629682448,159,160000000
244,1,3176,-88.03758365403358,159,166000000
244,3,7320,-91.36603092537474,159,170000000
245,0,4603,-87.74735323526637,159,260000000
245,1,3171,-87.74689040030677,159,273000000
245,3,7386,-91.41205759152382,159,275000000
246,0,4611,-88.23567803246037,159,360000000
246,1,3243,-88.67033777170585,159,369000000
246,3,7412,-91.976089843646,159,374000000
247,0,4583,-88.3386807298842,159,460000000
247,1,3260,-87.5356319467097,159,475000000
247,3,7305,-94.32344646541334,159,478000000
248,0,4530,-88.5516719149872,159,560000000
248,1,3264,-88.81116596931533,159,568000000
248,3,7336,-92.55897570370745,159,568000000
249,0,4473,-88.87314445546015,159,659000000
249,1,3296,-88.08639530251598,159,674000000
249,3,7355,-91.36612950426512,159,678000000
250,0,4472,-87.85031104693446,159,759000000
250,1,3335,-88.57537700362818,159,767000000
250,3,7332,-90.60640902371448,159,778000000
250,2,7904,-92.93648910175904,159,781000000
251,0,4447,-87.60860613192172,159,860000000
251,1,3340,-88.3740742697157,159,870000000
251,3,7358,-92.71705260965156,159,881000000
251,2,7889,-92.57515512937992,159,892000000
252,0,4389,-87.90948494304874,159,960000000
252,1,3446,-88.19543008905977,159,970000000
252,3,7376,-92.79364082338124,159,981000000
252,2,7862,-92.02072599059323,159,984000000
253,0,4401,-88.46426257283207,160,60000000
253,1,3327,-87.87935984159368,160,62000000
253,3,7396,-92.13204798850796,160,76000000
253,2,7958,-92.02686147556167,160,88000000
254,0,4401,-87.87763948475843,160,160000000
254,1,3320,-87.96497975799292,160,163000000
254,3,7406,-91.8254170187929,160,175000000
254,2,7938,-92.35996041663462,160,175000000
255,0,4412,-87.91092857589574,160,260000000
255,1,3410,-88.62751496986084,160,264000000
255,3,7455,-91.67542831614924,160,278000000
255,2,7894,-92.83586613854442,160,282000000
0,0,4400,-88.39117719904193,160,360000000
0,1,3384,-88.56456501684666,160,373000000
0,3,7482,-91.22833604112532,160,375000000
0,2,7911,-92.98762000167552,160,376000000
1,0,4350,-88.13840482580079,160,459000000
1,1,3311,-88.36312815163984,160,467000000
1,3,7522,-90.93924025141004,160,478000000
1,2,7930,-92.46737620687534,160,481000000
2,0,4377,-88.53419838917874,160,560000000
2,1,3341,-87.89495579038092,160,572000000
2,3,7541,-90.51908226459771,160,579000000
2,2,7911,-93.3680030519356,160,586000000
3,0,4401,-88.17547960763123,160,659000000
3,1,3324,-88.04259769107617,160,665000000
3,3,7542,-90.22390917629458,160,676000000
3,2,7939,-93.15926951055953,160,679000000
4,0,4335,-89.07237536617967,160,760000000
4,1,3280,-88.2651852560775,160,772000000
4,3,7590,-91.27047426709382,160,779000000
4,2,7938,-92.86711556680932,160,788000000
5,0,4330,-87.70094429315881,160,860000000
5,1,3315,-87.8923538724635,160,865000000
5,3,7601,-91.15920947639933,160,877000000
5,2,7949,-91.94340953151053,160,880000000
6,0,4303,-88.36527858437107,160,959000000
6,1,3313,-88.53987638860247,160,965000000
6,3,7677,-92.24432957158965,160,973000000
7,0,4309,-88.33055576556204,161,60000000
7,1,3372,-88.65919970685438,161,70000000
7,3,7698,-92.83171049170954,161,81000000
8,0,4293,-88.30692345244177,161,159000000
8,1,3473,-88.34635905177038,161,167000000
8,3,7690,-92.33031576754108,161,172000000
