seq,sec,nsec,X,Y,Z
1310,163,359000000,7.333324850129848,2.4384854572547496,1.67554206540839
1311,163,459000000,7.295560443505607,2.4087570625849573,1.6745620654083897
1312,163,559000000,7.257796036881366,2.379028667915165,1.673582065408389
1313,163,659000000,7.220031630257125,2.3493002732453725,1.6726020654083886
1314,163,758000000,7.182267223632884,2.31957187857558,1.6716220654083882
1315,163,859000000,7.144502817008643,2.289843483905788,1.6706420654083878
1316,163,959000000,7.106738410384402,2.260115089235996,1.6696620654083874
1317,164,59000000,7.068974003760161,2.230386694566203,1.668682065408387
1318,164,159000000,7.03120959713592,2.2006582998964106,1.6677020654083865
1319,164,259000000,6.993445190511679,2.170929905226618,1.666722065408386
1320,164,359000000,6.955680783887438,2.141201510556826,1.6657420654083857
1321,164,459000000,6.924033791118111,2.1145151738146217,1.6708794792633146
1322,164,559000000,6.894167720010604,2.0854063819493285,1.6777978147800647
1323,164,659000000,6.859764131077863,2.0549205601321265,1.680178632471578
1324,164,759000000,6.8219997244536215,2.025192165462334,1.6791986324715775
1325,164,859000000,6.78423531782938,1.9954637707925384,1.678218632471577
1326,164,959000000,6.746470911205139,1.965735376122724,1.677238632471577
1327,165,58000000,6.708706504580898,1.936006981452909,1.6762586324715762
1328,165,159000000,6.673674846187256,1.9064640183151709,1.6794853513481995
1329,165,259000000,6.637109038137372,1.876559940681079,1.6797702256568263
1330,165,359000000,6.599344631513131,1.846831546011264,1.678790225656826
1331,165,458000000,6.56158022488889,1.8171031513414493,1.6778102256568257
1332,165,559000000,6.523815818264649,1.787374756671635,1.6768302256568253
1333,165,659000000,6.486051411640408,1.7576463620018203,1.6758502256568248
1334,165,759000000,6.448287005016167,1.7279179673320058,1.6748702256568244
1335,165,859000000,6.410522598391926,1.6981895726621912,1.673890225656824
1336,165,959000000,6.3727581917676845,1.6684611779923766,1.6729102256568236
1337,166,59000000,6.334993785143444,1.638732783322562,1.6719302256568231
1338,166,159000000,6.297229378519202,1.6090043886527474,1.6709502256568227
1339,166,255000000,6.259464971894961,1.5792759939829328,1.6699702256568223
1340,166,359000000,6.22170056527072,1.5495475993131185,1.668990225656822
1341,166,458000000,6.183936158646479,1.5198192046433037,1.6680102256568214
1342,166,559000000,6.146171752022238,1.490090809973489,1.667030225656821
1343,166,659000000,6.109905325862107,1.4623360467431896,1.6726476512880748
1344,166,759000000,6.074155083160726,1.4325405410716572,1.6799612577930991
1345,166,857000000,6.036728909308174,1.4024133461947623,1.679580759158307
1346,166,959000000,5.998964502683933,1.372684951524948,1.6786007591583063
1347,167,59000000,5.961200096059692,1.3429565568551334,1.677620759158306
1348,167,159000000,5.9233386890984505,1.3132091601319618,1.677314363619681
1349,167,259000000,5.8858083793976,1.283118286984821,1.6800884253031163
1350,167,359000000,5.848043972773358,1.2533898923150064,1.679108425303116
1351,167,459000000,5.810279566149117,1.2236614976451918,1.6781284253031157
1352,167,559000000,5.772515159524876,1.1939331029753772,1.677148425303115
1353,167,659000000,5.734750752900635,1.1642047083055629,1.6761684253031146
1354,167,759000000,5.696986346276394,1.134476313635748,1.6751884253031142
1355,167,859000000,5.659221939652153,1.1047479189659335,1.6742084253031138
1356,167,959000000,5.621457533027912,1.075019524296119,1.673228425303113
1357,168,59000000,5.583693126403671,1.0452911296263043,1.672248425303113
1358,168,159000000,5.54592871977943,1.0155627349564895,1.6712684253031125
1359,168,259000000,5.508164313155189,0.9858343402866752,1.670288425303112
1360,168,359000000,5.470399906530948,0.9561059456168606,1.6693084253031116
